timestamp(ms),pitch(¡Æ),roll(¡Æ),yaw(¡Æ),flex1,flex2,flex3,flex4,flex5
timestamp,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5
15857,-2.69,-3.60,4.52,774,782,776,806,795
15873,-0.18,-3.54,4.70,774,781,777,805,796
15890,1.71,-4.33,4.94,768,782,769,803,795
15906,1.04,-3.30,5.07,772,777,776,805,797
15922,-1.22,-1.46,4.39,769,782,768,802,797
15939,-2.99,-1.04,3.78,772,785,776,806,796
15956,-4.52,-1.46,4.58,772,775,773,803,805
15972,-3.85,-1.34,4.39,772,781,774,808,798
15989,-0.06,-0.85,3.48,773,784,770,803,798
16005,2.44,-1.59,3.05,764,777,777,808,798
16022,2.26,-2.08,3.23,764,774,774,808,791
16038,0.61,-1.53,2.81,769,785,776,809,797
16054,-0.24,-0.98,1.83,772,779,772,809,798
16071,-0.98,-3.30,2.50,773,785,772,803,795
16087,-1.71,-3.48,3.60,768,784,776,806,796
16104,-1.34,-3.54,2.81,769,782,773,807,797
16120,1.46,-3.30,0.73,775,781,775,805,797
16136,2.14,-4.09,0.79,776,781,774,808,795
16153,0.79,-3.97,2.56,774,783,772,802,795
16169,-0.06,-1.65,2.38,770,778,791,806,796
16186,-0.12,-1.16,0.73,770,776,773,808,798
16202,-0.43,-2.87,0.79,785,779,773,805,792
16219,-1.95,-3.36,2.75,774,775,769,805,798
16235,-0.85,-0.79,2.75,774,784,776,807,797
16252,-0.24,0.37,2.32,773,778,774,805,798
16268,-0.98,-0.49,2.44,774,776,772,799,788
16284,-4.52,-0.98,3.42,772,781,772,803,798
16301,-5.68,-0.43,3.17,775,782,771,803,799
16317,-7.39,0.18,2.62,770,785,774,803,799
16334,-8.48,-0.37,4.15,772,780,774,805,792
16350,-7.14,2.14,4.76,767,780,768,808,798
16367,-5.13,2.93,4.27,774,781,774,807,796
16383,-2.75,2.81,4.33,774,781,773,809,796
16400,-2.81,2.01,5.00,770,777,771,806,796
16416,-2.56,0.79,4.33,772,780,773,808,797
16432,-3.30,0.49,2.99,771,779,776,808,796
16449,-4.09,1.83,2.50,773,790,772,807,796
16465,-4.94,1.83,2.38,773,786,776,807,796
16482,-3.23,0.18,1.40,773,792,790,807,791
16498,1.71,-5.55,0.06,773,782,769,803,795
16514,8.54,-5.31,1.89,770,787,773,806,798
16531,9.77,-6.96,0.98,772,775,774,804,791
16547,7.02,-3.30,0.12,773,782,772,805,796
16563,-0.67,-3.48,-1.59,770,778,778,801,794
16580,-5.86,-5.19,-2.26,773,784,772,802,799
16596,-10.56,-5.62,-0.61,771,784,772,809,799
16613,-5.98,-4.27,-0.37,772,780,777,803,794
16629,2.87,-1.83,-0.06,775,782,774,825,796
16646,6.84,-2.87,-0.43,770,786,773,804,792
16662,9.46,-0.49,-1.28,771,778,772,805,793
16679,6.71,-1.65,-1.89,775,781,768,803,796
16695,3.91,-2.87,-0.55,769,776,770,806,793
16712,-5.68,-1.65,0.43,772,778,771,801,797
16728,-11.29,-1.59,1.77,772,780,773,806,798
16784,7.93,1.22,0.43,770,781,791,805,796
17031,0.00,-0.67,1.59,774,793,774,801,795
17278,-1.83,1.83,0.37,772,785,777,802,797
17535,-3.17,-0.37,0.06,772,782,775,807,795
17782,-4.52,-0.98,1.77,775,781,774,806,793
18030,0.43,-0.24,0.18,774,781,768,802,798
18287,3.17,-1.28,-0.73,773,780,771,806,806
18534,-0.92,-0.79,0.37,771,781,770,809,815
18781,-1.22,-0.37,0.43,768,784,777,807,797
19038,-0.37,0.24,0.61,768,784,774,803,800
19284,0.12,-0.12,-0.12,776,775,771,809,795
19531,-0.49,-0.49,0.18,773,784,776,805,794
19778,0.12,-0.61,0.61,772,777,773,802,794
20035,0.06,-2.26,-1.40,769,774,768,809,801
20282,0.67,-0.73,1.04,772,786,773,805,796
20530,6.16,-1.83,-2.20,768,779,776,807,800
20787,69.76,-24.29,-5.31,770,784,775,806,795
21034,14.95,14.10,-0.12,774,782,773,808,793
21280,20.39,6.90,-3.54,771,784,776,808,794
21537,0.61,2.32,-1.22,774,786,777,808,796
21784,-3.91,0.55,-1.89,772,785,773,806,795
22031,-0.18,-1.10,-1.04,774,777,770,806,800
22279,0.61,-1.16,0.85,771,781,770,807,799
22536,-1.22,-0.37,0.24,775,780,775,809,797
22783,-5.37,1.10,-1.04,770,785,773,802,800
23030,-2.38,0.67,-0.12,770,781,772,800,799
23287,-21.79,-1.95,-1.40,772,787,772,803,796
23534,-59.88,6.04,6.47,774,787,773,807,793
23782,-50.66,11.72,7.93,773,781,774,802,797
24029,-61.46,-9.70,0.00,772,780,774,804,795
24286,-3.05,-0.37,-1.71,774,780,776,803,795
24533,10.01,1.65,0.85,773,783,774,806,801
24780,13.73,1.83,2.87,774,780,776,805,797
25037,6.10,0.55,2.08,773,787,776,806,796
25283,6.59,1.46,1.83,774,784,776,808,798
25530,2.20,0.24,0.73,773,781,778,807,801
25788,7.39,2.56,0.12,773,780,772,808,793
26035,14.77,6.16,-0.92,773,783,773,802,796
26282,12.21,-3.05,-10.01,770,775,777,805,798
26528,-13.67,3.66,28.08,770,782,773,806,799
26786,28.44,5.92,-31.56,771,787,776,807,800
27033,14.83,-0.61,2.87,773,781,773,813,797
27280,-7.14,3.30,1.04,769,781,768,809,827
27537,-2.26,-12.39,-10.01,774,785,777,809,921
27784,-12.63,1.22,-0.92,772,780,770,802,926
28031,-1.71,2.32,-0.12,769,784,773,808,937
28278,2.50,1.28,0.31,772,781,777,806,933
28535,0.67,0.43,0.18,774,781,776,803,930
28782,0.55,2.93,1.59,767,781,770,809,925
29029,6.41,-4.82,-1.10,772,782,776,803,921
29286,3.78,1.28,-1.28,774,778,773,808,932
29533,-1.46,0.49,0.37,773,775,774,803,925
29780,5.43,-2.01,1.10,768,784,773,808,840
30037,28.81,0.73,-11.60,775,780,774,808,809
30284,-1.65,-6.90,-0.55,767,785,773,803,803
30531,-32.84,19.29,12.08,772,787,774,804,805
30778,-3.42,-14.89,-24.84,770,782,772,804,812
31035,-4.76,7.69,-0.06,772,781,767,808,813
31282,6.96,1.95,2.56,767,777,771,894,804
31529,3.85,-4.76,-0.06,771,782,775,938,807
31787,-4.15,-0.24,0.00,773,785,774,937,809
32033,-1.04,1.22,-0.85,773,784,771,942,808
32281,-2.44,-0.31,-0.37,772,780,773,944,808
32528,-2.32,-1.34,0.24,773,776,776,939,808
32785,-2.44,0.98,0.79,771,780,774,948,805
33032,-1.59,-2.50,1.53,771,778,770,943,806
33279,-3.17,0.37,6.47,771,786,773,950,806
33536,5.62,-4.46,0.61,768,786,775,939,805
33783,-1.71,-0.12,-0.67,771,785,776,946,806
34030,2.50,3.36,-0.67,770,782,773,939,814
34287,-15.20,9.22,5.80,770,781,770,833,808
34534,6.23,8.06,-10.62,773,782,769,813,806
34781,-17.03,-12.02,-9.28,772,779,772,811,809
35028,-7.14,-4.64,-24.54,770,781,771,818,810
35285,3.17,-5.31,-2.75,772,779,796,826,806
35532,3.17,-0.55,6.65,772,776,860,814,804
35779,3.72,-5.31,7.32,770,789,897,816,805
36036,1.53,-4.88,0.61,771,782,910,813,806
36283,5.43,1.59,2.44,774,782,910,818,808
36530,-0.31,-3.72,-2.87,774,796,903,819,803
36787,3.05,0.49,0.73,768,780,910,816,809
37034,-4.46,4.33,3.05,772,777,890,816,808
37281,-1.65,12.51,2.75,767,781,814,815,809
37528,-0.49,0.55,-16.05,767,786,790,818,804
37785,0.18,-4.64,-13.49,771,785,789,816,808
38032,-21.06,28.20,10.62,769,783,792,812,805
38279,-14.47,-39.61,-9.28,773,784,787,818,810
38536,16.97,10.93,-10.31,773,783,783,819,805
38783,7.57,-9.46,-14.22,773,814,789,817,798
39030,22.83,-2.81,0.73,774,903,787,812,808
39288,-9.03,-0.12,1.53,776,920,784,816,807
39535,-0.12,-2.32,-2.75,779,919,786,814,809
39782,9.09,-6.65,-5.62,774,898,787,815,803
40029,3.30,24.72,27.77,780,788,789,812,808
40286,23.99,1.22,3.42,774,783,788,814,804
40533,41.56,-16.17,15.38,776,790,787,817,805
40780,77.88,11.23,-0.06,772,790,788,812,803
41037,46.02,8.06,26.25,776,789,786,815,813
41284,-35.58,34.18,23.62,767,789,786,810,807
41531,63.54,-4.39,-42.85,772,788,781,810,801
41778,22.09,-3.17,-0.18,778,786,785,806,802
42036,-5.13,20.63,-1.28,851,788,783,811,802
42283,-8.85,-4.52,-8.00,907,789,782,814,800
42529,-5.62,-1.59,-7.63,939,785,778,806,801
42786,3.30,0.98,2.50,935,786,788,820,804
43033,30.76,0.98,6.84,821,781,787,809,797
43280,-43.64,22.89,45.84,794,792,781,807,806
43537,-9.58,8.85,3.66,797,790,783,803,799
43784,-2.20,0.61,-2.56,808,787,779,803,799
44031,18.01,-3.78,14.40,796,787,779,801,802
44278,-1.46,13.49,19.04,788,781,780,802,810
44535,-1.28,-3.42,8.85,787,792,770,801,801
44782,-12.39,0.18,5.25,785,784,774,796,800
45029,4.46,-4.03,-0.31,782,790,776,807,822
45286,1.40,-9.77,-3.36,780,780,773,800,815
45533,11.17,-10.99,-0.12,782,785,774,802,803
45780,24.66,-5.49,9.22,780,787,781,802,813
46036,-4.64,-6.90,-1.89,777,754,774,793,795
46283,6.77,14.16,-3.05,780,781,782,803,801
46530,7.45,12.70,-16.78,779,783,777,806,801
46787,108.58,39.18,-107.73,776,785,780,807,809
47034,95.76,-9.70,-43.64,780,779,780,807,811
47281,-12.94,-6.16,0.55,778,785,779,816,802
47528,-9.22,3.66,-1.95,778,785,777,807,803
47786,-2.20,1.59,0.49,775,784,784,812,803
