timestamp(ms),pitch(¡Æ),roll(¡Æ),yaw(¡Æ),flex1,flex2,flex3,flex4,flex5
timestamp,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5
26041,0.00,-1.77,0.49,764,785,765,805,806
26061,0.06,-1.28,0.49,776,785,771,804,810
26081,-0.67,-0.18,0.00,772,783,770,804,812
26101,-1.22,-0.18,-1.04,769,781,773,814,809
26121,-1.28,-0.55,-1.34,770,777,778,809,803
26141,-1.28,-1.77,-0.73,767,786,774,816,805
26161,-0.55,-0.73,-0.37,774,778,768,814,808
26181,-0.61,-0.31,0.24,771,773,774,825,803
26201,-0.79,-1.28,-0.06,772,780,769,812,811
26221,-0.67,-0.79,-0.24,773,773,775,809,812
26241,0.00,-2.01,-0.37,770,778,773,808,802
26261,-0.06,-3.85,-0.85,771,782,767,811,810
26281,0.37,-5.25,-1.89,764,777,771,812,807
26301,1.28,-6.47,-2.93,771,780,765,809,811
26321,0.43,-2.20,-0.73,768,793,771,809,812
26341,-0.79,0.49,0.37,763,782,766,806,818
26361,-0.43,-0.85,0.31,766,780,763,810,812
26381,1.71,-0.67,-0.55,774,780,770,815,806
26401,-0.67,-0.92,-1.16,771,771,769,810,806
26421,-1.77,1.40,-0.37,769,790,770,811,814
26441,-0.37,4.09,0.92,766,787,772,810,810
26461,1.10,4.46,0.79,770,783,781,816,810
26481,1.77,-2.87,-0.18,771,784,773,814,814
26501,1.46,-8.12,-2.56,768,777,766,814,809
26521,-0.24,-7.51,-2.38,770,785,774,810,820
26541,-1.04,1.53,0.43,772,794,778,809,808
26561,-0.92,5.49,2.56,770,780,778,828,812
26581,-0.43,-0.24,1.04,773,788,780,808,807
26601,-0.49,-7.69,-1.28,772,780,769,813,813
26621,0.12,-10.13,-1.89,769,787,775,810,806
26641,0.61,-2.26,-0.92,774,787,781,816,812
26661,-0.67,11.11,6.16,763,789,780,813,819
26681,1.28,9.28,4.52,771,790,775,815,811
26701,1.59,-6.71,-0.98,771,793,775,813,812
26721,0.73,-13.31,-3.11,768,785,777,816,817
26741,-2.26,-1.10,0.00,771,800,785,814,816
26761,-4.39,10.86,5.31,776,795,773,817,816
26781,-2.38,8.30,4.27,770,797,779,813,816
26801,-1.40,-4.58,0.37,773,800,781,814,821
26821,-1.89,-8.24,-1.28,772,800,779,830,853
26841,-3.78,-3.72,0.79,765,813,781,815,818
