timestamp(ms),ax(g),ay(g),az(g),pitch(¡Æ),roll(¡Æ),yaw(¡Æ)
10392,-0.041,-0.394,0.925,0.01,-0.11,180.00
19165,-0.295,-0.097,0.915,0.12,-0.15,180.01
19209,-0.330,-0.059,0.905,0.23,-0.17,180.02
19237,-0.347,-0.022,0.868,0.35,-0.17,180.03
19279,-0.356,0.037,0.874,0.46,-0.16,180.04
19306,-0.323,0.047,0.932,0.58,-0.14,180.04
19332,-0.319,0.089,0.951,0.69,-0.10,180.05
19357,-0.330,0.081,0.935,0.80,-0.07,180.05
19382,-0.323,0.112,0.952,0.90,-0.03,180.06
19415,-0.338,0.077,0.952,1.01,-0.01,180.06
19440,-0.339,0.073,0.954,1.12,0.02,180.07
19470,-0.329,0.058,0.934,1.24,0.04,180.07
19513,-0.312,0.054,0.940,1.35,0.06,180.08
19538,-0.295,0.081,0.947,1.46,0.09,180.08
19574,-0.293,0.068,0.951,1.57,0.11,180.09
19604,-0.326,0.073,0.940,1.68,0.14,180.09
19630,-0.248,0.025,0.954,1.80,0.15,180.09
19742,-0.277,0.029,0.963,1.91,0.16,180.09
19785,-0.244,0.044,0.992,2.02,0.18,180.09
19810,-0.297,0.052,0.989,2.13,0.20,180.10
19835,-0.292,0.062,0.965,2.24,0.23,180.10
19867,-0.314,0.077,0.947,2.35,0.26,180.10
19892,-0.300,0.040,0.971,2.47,0.27,180.10
19933,-0.264,0.061,0.982,2.58,0.30,180.10
19960,-0.312,0.064,0.956,2.69,0.32,180.11
19993,-0.327,0.036,0.964,2.80,0.34,180.11
20020,-0.271,0.042,0.974,2.91,0.35,180.11
20049,-0.281,0.015,0.968,3.03,0.36,180.11
20079,-0.283,0.015,0.970,3.14,0.36,180.11
20103,-0.306,0.046,0.977,3.26,0.38,180.11
20143,-0.300,0.089,0.964,3.37,0.42,180.12
20175,-0.302,0.042,0.953,3.48,0.44,180.12
20203,-0.267,0.051,0.956,3.59,0.46,180.12
20230,-0.278,0.059,0.969,3.70,0.49,180.12
20360,-0.432,0.022,1.019,3.82,0.49,180.12
20396,-0.269,0.072,1.002,3.93,0.52,180.12
20435,-0.360,0.095,0.988,4.04,0.56,180.12
20462,-0.305,0.033,0.953,4.16,0.57,180.12
20497,-0.366,0.028,0.899,4.28,0.58,180.11
20524,-0.347,0.039,0.880,4.39,0.59,180.11
20574,-0.348,0.101,0.841,4.51,0.63,180.11
20598,-0.328,0.129,0.845,4.61,0.67,180.11
20642,-0.538,0.013,0.894,4.73,0.66,180.11
20669,-0.430,-0.096,0.931,4.83,0.62,180.11
20704,-0.345,-0.096,0.940,4.94,0.58,180.10
20729,-0.293,-0.054,0.953,5.05,0.54,180.10
20763,-0.393,-0.088,0.960,5.16,0.51,180.10
20794,-0.435,-0.070,0.899,5.27,0.49,180.09
20823,-0.326,-0.068,0.896,5.38,0.46,180.09
20856,-0.376,-0.025,0.915,5.49,0.45,180.09
20987,-0.320,-0.019,0.947,5.60,0.43,180.09
21018,-0.320,0.002,0.944,5.71,0.43,180.09
21063,-0.288,0.031,0.945,5.82,0.45,180.10
21099,-0.335,0.038,0.954,5.93,0.46,180.10
21124,-0.325,0.003,0.972,6.05,0.46,180.10
21157,-0.307,-0.028,0.971,6.16,0.44,180.10
21181,-0.316,0.009,0.987,6.27,0.45,180.11
21215,-0.274,0.156,0.965,6.36,0.53,180.13
21240,-0.290,0.158,0.954,6.44,0.60,180.14
21267,-0.305,0.064,0.959,6.55,0.63,180.14
21295,-0.305,0.102,0.966,6.66,0.68,180.15
21348,-0.298,0.048,0.963,6.77,0.70,180.15
21373,-0.272,0.100,0.971,6.87,0.76,180.16
21400,-0.274,0.108,0.971,6.96,0.82,180.16
21428,-0.296,0.093,0.975,7.07,0.86,180.17
21484,-0.240,0.056,0.973,7.17,0.90,180.17
21515,-0.265,0.041,0.987,7.28,0.92,180.18
21546,-0.276,0.048,0.986,7.39,0.95,180.17
21570,-0.244,0.044,0.977,7.50,0.97,180.17
21603,-0.311,0.051,0.987,7.61,1.00,180.17
21709,-0.289,0.054,0.957,7.73,1.03,180.17
21744,-0.056,0.081,0.992,7.64,1.10,180.18
21812,-0.230,0.160,0.901,7.70,1.19,180.19
21858,-0.313,0.069,0.930,7.82,1.22,180.20
21883,-0.312,0.055,0.958,7.93,1.24,180.20
21921,-0.118,0.631,0.986,7.93,1.34,180.21
21946,-0.397,-0.329,1.049,7.99,1.24,180.19
21982,-0.245,0.020,0.963,8.11,1.24,180.19
22052,-0.273,-0.020,0.941,8.22,1.21,180.18
22084,-0.248,-0.055,0.940,8.31,1.14,180.17
22109,-0.288,-0.044,0.935,8.41,1.09,180.16
22144,-0.312,-0.025,0.911,8.52,1.07,180.15
22170,-0.297,-0.061,0.910,8.62,1.02,180.14
22204,-0.260,-0.018,0.955,8.73,0.98,180.14
22228,-0.308,-0.068,0.952,8.83,0.93,180.13
22262,-0.363,-0.097,0.975,8.92,0.88,180.11
22296,-0.380,-0.058,0.944,9.03,0.85,180.11
22325,-0.251,-0.039,1.021,9.12,0.79,180.10
22364,-0.358,-0.046,1.004,9.23,0.77,180.09
22388,-0.354,0.031,0.954,9.34,0.79,180.09
22420,-0.288,0.049,0.901,9.45,0.82,180.10
22464,-0.272,0.098,0.974,9.53,0.90,180.11
22488,-0.289,0.087,0.963,9.63,0.96,180.12
22537,-0.215,0.072,0.970,9.70,1.05,180.13
22561,-0.134,0.128,1.010,9.66,1.16,180.15
22586,-0.160,0.158,0.997,9.65,1.28,180.17
22613,-0.189,0.148,0.965,9.67,1.39,180.19
22639,-0.162,0.106,0.959,9.67,1.51,180.21
22739,-0.165,0.133,0.973,9.66,1.62,180.23
22793,-0.179,0.144,0.976,9.67,1.74,180.25
22821,-0.145,0.153,0.978,9.65,1.86,180.27
22848,-0.123,0.182,0.981,9.62,1.97,180.28
22880,-0.160,0.129,1.000,9.60,2.09,180.30
22905,-0.127,0.160,0.995,9.56,2.20,180.32
22937,-0.102,0.204,0.981,9.52,2.31,180.34
22964,-0.117,0.143,0.987,9.47,2.41,180.36
22994,-0.081,0.139,1.019,9.39,2.50,180.37
23035,-0.271,0.286,0.960,9.44,2.60,180.39
23063,-0.209,0.145,0.991,9.48,2.71,180.40
23095,-0.168,0.159,0.995,9.48,2.83,180.42
23139,-0.118,0.187,1.009,9.44,2.94,180.44
23164,-0.113,0.179,1.003,9.40,3.04,180.46
23198,-0.079,0.184,0.972,9.34,3.14,180.48
23223,-0.205,0.156,0.973,9.39,3.24,180.49
23275,-0.139,0.175,0.956,9.37,3.35,180.52
23299,-0.149,0.116,0.972,9.35,3.46,180.54
23325,-0.190,0.171,0.963,9.39,3.56,180.56
23463,-0.167,0.158,0.982,9.39,3.68,180.57
23488,-0.155,0.155,0.981,9.38,3.80,180.59
23515,-0.161,0.120,0.976,9.38,3.91,180.61
23554,-0.190,0.107,0.977,9.44,4.01,180.63
23583,-0.220,0.067,0.982,9.56,4.00,180.62
23610,-0.216,0.126,0.961,9.64,4.09,180.64
23635,-0.207,0.181,0.961,9.68,4.20,180.66
23663,-0.228,0.126,0.964,9.76,4.27,180.67
23687,-0.233,0.103,0.973,9.86,4.32,180.68
23719,-0.198,0.086,0.962,9.96,4.36,180.68
23767,-0.247,0.071,0.962,10.08,4.36,180.68
23792,-0.219,0.064,1.000,10.19,4.32,180.68
23833,-0.219,0.050,0.966,10.29,4.26,180.67
23864,-0.218,0.059,0.980,10.39,4.22,180.66
23891,-0.234,0.036,0.996,10.48,4.15,180.65
