timestamp(ms),ax(g),ay(g),az(g),pitch(¡Æ),roll(¡Æ),yaw(¡Æ)
38314,-0.030,-0.434,0.908,0.04,-0.22,180.00
38366,-0.034,-0.423,0.912,0.05,-0.34,180.00
38397,-0.032,-0.428,0.910,0.05,-0.45,180.00
38425,-0.032,-0.430,0.912,0.06,-0.57,180.00
38451,-0.035,-0.428,0.912,0.07,-0.68,180.00
38524,-0.032,-0.426,0.911,0.08,-0.80,180.00
41360,-0.018,-0.332,0.954,0.09,-0.91,180.00
41394,-0.107,-0.332,0.956,0.12,-1.02,180.00
41431,-0.057,-0.305,0.953,0.14,-1.13,180.00
41460,-0.040,-0.309,0.946,0.16,-1.25,180.00
41495,-0.029,-0.336,0.958,0.16,-1.37,180.01
41522,-0.001,-0.361,0.956,0.16,-1.48,180.01
41565,-0.025,-0.294,0.893,0.17,-1.60,180.01
41598,0.021,-0.306,0.963,0.15,-1.71,180.02
41648,-0.025,-0.345,0.924,0.16,-1.83,180.02
41690,-0.123,-0.364,0.901,0.20,-1.94,180.03
41718,0.010,-0.383,0.899,0.21,-2.05,180.03
41746,-0.051,-0.379,0.941,0.23,-2.17,180.03
41793,-0.116,-0.402,0.930,0.26,-2.29,180.03
41820,-0.156,-0.407,0.915,0.31,-2.40,180.03
41848,-0.147,-0.420,0.910,0.35,-2.51,180.03
41881,-0.098,-0.417,0.915,0.37,-2.62,180.03
41920,-0.262,-0.405,0.899,0.44,-2.71,180.03
41947,-0.021,-0.361,0.924,0.44,-2.83,180.04
41975,-0.096,-0.396,0.915,0.47,-2.94,180.04
42005,0.029,-0.443,0.908,0.46,-3.05,180.04
42037,-0.118,-0.413,0.909,0.49,-3.16,180.05
42062,-0.133,-0.411,0.910,0.53,-3.27,180.05
42105,-0.147,-0.426,0.903,0.57,-3.38,180.05
42130,-0.132,-0.433,0.904,0.60,-3.49,180.05
42168,-0.076,-0.429,0.905,0.62,-3.60,180.05
42195,-0.166,-0.386,0.918,0.67,-3.70,180.05
42247,-0.130,-0.354,0.922,0.71,-3.81,180.05
42276,-0.069,-0.394,0.923,0.73,-3.92,180.05
42305,-0.101,-0.406,0.911,0.76,-4.04,180.05
42331,-0.085,-0.456,0.894,0.78,-4.15,180.05
42368,-0.129,-0.455,0.891,0.82,-4.26,180.04
42398,-0.151,-0.467,0.888,0.85,-4.37,180.04
42431,-0.129,-0.452,0.891,0.89,-4.48,180.04
42459,-0.115,-0.455,0.893,0.91,-4.59,180.04
42501,-0.114,-0.476,0.896,0.94,-4.70,180.04
42531,-0.116,-0.430,0.898,0.97,-4.81,180.04
42557,-0.154,-0.709,0.907,1.00,-4.92,180.04
42585,-0.130,-0.430,0.910,1.03,-5.03,180.04
