timestamp(ms),ax(g),ay(g),az(g),pitch(¡Æ),roll(¡Æ),yaw(¡Æ)
5285,-0.023,0.002,1.009,1.33,0.11,0.01
6798,-0.024,0.002,1.010,1.36,0.09,0.16
8003,-0.026,-0.003,1.008,1.47,-0.15,1.83
9227,-0.016,-0.716,0.721,0.91,-44.80,1.88
10403,0.112,-0.760,-0.637,-6.42,-129.95,357.78
11589,-0.014,-0.016,-1.004,0.77,-179.09,355.16
12755,-0.014,0.024,-1.000,0.82,178.62,355.93
14163,0.060,-0.889,-0.444,-3.47,-116.52,0.15
15348,-0.020,-0.829,0.553,1.18,-56.27,3.86
16630,-0.068,0.091,0.996,3.87,5.24,7.96
17816,-0.082,0.846,0.496,4.80,59.59,9.32
18982,-0.058,0.994,0.113,3.35,83.51,11.73
20168,-0.050,0.808,-0.589,2.87,126.09,13.72
21334,-0.076,0.654,-0.754,4.36,139.03,15.03
22500,-0.138,0.971,0.136,8.02,82.02,13.23
23744,-0.256,-0.048,1.002,14.31,-2.73,16.20
25007,-0.908,0.126,0.403,65.05,17.37,17.81
26182,-0.994,0.150,0.081,80.29,61.57,17.68
27349,-0.997,0.147,0.031,81.46,78.19,18.25
28515,-1.007,0.003,-0.017,89.03,171.32,12.03
29682,-1.006,-0.004,-0.024,88.60,-169.98,11.58
31002,-0.346,-0.053,0.959,19.79,-3.19,6.64
32168,-0.038,-0.034,1.017,2.12,-1.90,4.58
33335,0.771,-0.032,0.668,-49.10,-2.76,8.37
34501,0.999,-0.045,0.188,-79.06,-13.48,1.80
35667,0.999,0.056,0.095,-83.69,30.22,358.23
36834,0.999,0.056,0.090,-83.96,32.04,358.32
38010,0.849,-0.107,-0.568,-55.76,-169.37,7.57
39205,0.293,-0.199,-0.955,-16.72,-168.21,4.27
40381,0.146,-0.230,-0.958,-8.42,-166.51,4.06
41566,0.703,0.094,0.663,-46.39,8.09,350.08
42752,-0.913,0.308,-0.061,71.01,101.19,316.41
43918,-0.552,-0.379,-0.673,35.57,-150.57,325.32
45094,0.194,0.366,-0.904,-11.25,157.97,314.45
46415,0.190,0.133,0.978,-10.88,7.71,317.14
47591,-0.940,0.186,0.202,73.72,42.57,307.72
48757,-0.158,0.054,0.997,8.96,3.12,311.70
49924,0.098,0.047,1.045,-5.37,2.55,10.49
51090,0.081,0.067,1.038,-4.44,3.69,9.31
52257,-0.086,-0.143,0.964,5.01,-8.41,224.04
53423,-0.061,-0.076,0.997,3.51,-4.38,223.09
54599,-0.022,0.296,0.981,1.23,16.79,307.78
55765,-0.180,0.196,0.961,10.39,11.50,296.02
56932,-0.213,0.215,0.962,12.17,12.62,294.06
58223,0.127,0.912,0.436,-7.17,64.43,311.99
